,Accuracy,Shot fired,Hits,Deaths,DMG_Get
446,9.6,977,94,35,250
697,11.5,4999,573,39,474
800,20.8,2829,589,40,400
285,17.6,618,109,9,99
272,11.3,1097,124,50,395
927,6.2,1765,109,24,178
898,15.0,1805,270,10,174
228,8.5,1554,132,34,291
960,1.3,1365,18,15,165
463,10.0,667,67,27,175
917,22.5,1544,348,88,503
410,15.2,1587,242,53,374
294,13.8,1293,178,17,186
65,15.8,3220,509,36,382
794,18.4,1573,289,26,192
138,8.0,1282,103,5,93
