,Accuracy,Hits,DMG_Get
652,14.2,539,482
799,6.7,83,259
590,13.2,163,394
47,16.2,189,284
943,13.0,141,249
761,14.4,292,445
751,14.6,608,810
935,10.5,31,149
908,19.4,510,357
281,19.8,182,183
555,15.8,302,496
357,3.8,33,260
323,8.6,112,226
537,14.1,778,360
72,19.4,321,402
741,15.5,263,535
359,10.0,421,234
791,7.0,132,182
529,17.8,634,411
737,15.3,591,545
789,17.4,102,164
408,15.4,284,387
782,11.7,72,166
279,13.6,95,248
313,15.4,328,267
539,16.4,365,380
383,20.2,367,288
828,12.8,223,337
186,16.2,225,367
505,12.2,454,302
478,7.6,88,429
365,5.0,95,144
4,10.3,359,583
468,10.8,189,225
600,7.0,204,314
781,8.8,87,183
994,15.3,355,308
118,9.5,77,150
1,15.8,753,591
85,9.7,204,301
467,11.2,161,184
665,14.6,144,186
671,26.3,362,370
660,14.6,249,159
826,5.7,181,212
768,11.8,157,372
510,7.3,199,549
785,24.7,181,187
591,5.7,74,431
412,11.6,125,285
931,12.4,171,100
126,11.4,302,378
712,8.4,219,282
602,20.5,260,195
312,16.2,379,183
448,6.2,58,242
521,13.5,440,348
760,9.6,308,369
507,14.7,362,303
73,12.2,356,422
593,17.3,579,404
163,3.6,43,88
318,14.4,247,347
544,3.9,95,393
947,10.8,320,312
812,15.7,296,285
55,10.0,194,498
543,6.2,260,733
498,21.1,221,222
374,4.2,76,152
977,13.2,460,458
427,12.7,465,292
269,18.2,176,382
441,14.0,240,259
223,9.5,449,727
589,9.4,155,219
385,23.5,353,425
153,13.3,240,258
37,20.2,373,274
461,9.6,115,149
691,13.4,335,421
716,23.6,627,543
360,12.2,289,175
1000,13.3,355,243
713,8.3,189,285
601,12.4,286,498
797,22.8,241,281
258,11.0,279,309
13,20.0,585,302
913,8.8,193,327
290,8.3,43,122
604,21.8,399,376
897,16.8,390,177
95,12.6,84,202
51,17.3,424,397
758,13.1,255,290
635,14.8,422,415
770,30.1,191,191
811,13.0,365,303
872,16.1,427,391
196,8.5,170,525
242,14.2,265,299
572,22.9,368,280
563,10.6,263,365
14,19.7,490,306
327,16.0,215,179
356,4.7,66,358
42,8.4,71,281
97,6.0,59,138
489,3.1,29,557
132,12.9,135,151
637,8.9,352,636
861,15.1,528,503
492,12.7,228,269
466,13.1,196,186
264,18.9,242,264
219,21.3,1287,1092
486,13.2,172,339
964,18.5,339,368
1003,13.3,339,260
54,11.7,216,441
140,10.2,63,162
727,13.9,225,321
234,14.2,378,377
419,23.4,524,356
465,19.2,244,195
801,16.9,415,445
585,15.4,247,247
714,10.7,225,380
506,22.6,994,894
953,18.5,364,303
350,4.5,116,183
961,15.9,315,287
302,15.1,482,485
457,2.7,44,131
734,12.4,446,277
986,16.2,694,717
787,9.6,133,163
257,7.4,197,174
798,8.1,82,258
121,14.7,310,281
552,19.1,353,263
522,14.5,515,560
818,16.7,249,340
775,8.8,88,267
446,9.6,94,250
697,11.5,573,474
800,20.8,589,400
285,17.6,109,99
272,11.3,124,395
927,6.2,109,178
898,15.0,270,174
228,8.5,132,291
960,1.3,18,165
463,10.0,67,175
917,22.5,348,503
410,15.2,242,374
294,13.8,178,186
65,15.8,509,382
794,18.4,289,192
138,8.0,103,93
