,Rating,Accuracy,Shot fired,Hits,Deaths,DMG_Get
455,16.4,5.10%,1934,98,14,218
456,14,2.30%,3084,70,14,173
457,11.7,2.70%,1612,44,8,131
458,0,0.00%,488,0,15,210
459,109.1,21.70%,969,210,17,115
460,58.9,17.10%,1383,237,38,233
461,40.1,9.60%,1202,115,18,149
462,20.2,11.30%,934,106,52,297
463,19.1,10.00%,667,67,27,175
464,133.3,17.20%,1471,253,4,84
465,57.4,19.20%,1273,244,13,195
466,44.1,13.10%,1496,196,16,186
467,35.5,11.20%,1440,161,19,184
468,33.9,10.80%,1752,189,23,225
469,33.7,7.70%,2003,155,21,176
470,20.2,7.20%,848,61,9,114
471,17.5,13.20%,515,68,17,163
472,185.8,21.70%,4148,902,26,285
473,130.3,6.30%,4980,316,10,114
474,104,11.90%,3188,378,16,197
475,33.8,9.60%,1661,160,28,223
476,26.8,16.00%,1633,261,67,529
477,14.6,7.30%,2901,213,101,646
478,9.9,7.60%,1163,88,48,429
479,8,4.90%,1923,95,59,506
480,158.1,26.40%,1470,388,17,172
481,131,21.70%,1551,337,22,194
482,85.8,17.20%,1450,249,18,207
483,59.2,20.90%,1491,312,49,440
484,53.3,21.40%,1099,235,51,365
485,46.1,20.20%,1602,323,76,597
486,34.8,13.20%,1306,172,41,339
487,11.1,10.20%,696,71,45,375
488,8.3,3.40%,1629,56,60,516
489,3.3,3.10%,937,29,60,557
490,100.4,21.60%,2812,606,20,287
491,67.4,13.90%,3377,470,26,296
492,35.3,12.70%,1795,228,19,269
493,30.1,11.90%,1931,230,36,314
494,25.6,12.60%,1661,210,32,342
495,21.7,4.00%,3550,143,16,236
496,20.4,9.70%,1557,151,28,294
497,221.8,29.10%,1678,488,7,115
498,47,21.10%,1045,221,24,222
499,36.1,6.90%,853,59,2,61
500,27.3,8.10%,1402,114,13,161
501,12.3,9.50%,849,81,32,261
502,7.4,6.60%,530,35,13,178
503,217.3,26.20%,4416,1155,13,269
504,95.9,19.00%,4684,892,46,427
505,62.1,12.20%,3727,454,28,302
506,53.8,22.60%,4395,994,108,894
507,51.4,14.70%,2462,362,23,303
508,49.7,15.10%,2899,439,30,382
509,24.1,10.40%,2703,280,50,466
510,13.8,7.30%,2734,199,47,549
511,5.9,4.30%,3316,141,111,857
512,4.5,2.60%,2606,69,52,536
513,77.1,16.50%,3385,558,38,320
514,47.9,9.00%,2779,251,18,205
515,32.8,10.90%,1729,188,18,232
516,23.6,10.60%,1540,163,24,278
517,19.8,6.80%,2018,138,31,263
518,83.8,22.60%,3261,736,37,436
519,67.3,11.50%,3738,430,20,279
520,59.5,15.30%,4515,689,47,563
521,59.5,13.50%,3263,440,31,348
522,45.3,14.50%,3550,515,72,560
523,38.2,14.20%,2825,400,50,495
524,25.2,11.80%,2147,253,43,461
525,21.3,7.40%,3245,240,59,491
526,11,4.60%,1976,90,42,344
527,10.6,6.40%,1456,93,36,329
528,77.9,15.20%,4294,654,26,364
529,69.6,17.80%,3561,634,29,411
530,66.5,19.00%,2833,538,29,371
531,43.3,12.90%,3074,398,36,384
532,35.9,19.40%,1635,317,45,408
533,25.3,10.50%,2977,314,41,499
534,25.1,13.50%,2221,299,64,504
535,21.4,8.40%,3107,262,51,475
536,219,22.70%,5655,1283,11,283
537,92.1,14.10%,5534,778,21,360
538,71.8,12.80%,4250,542,15,315
539,42.4,16.40%,2224,365,31,380
540,28.4,11.60%,3515,408,62,588
541,22.2,11.70%,3078,361,75,667
542,13.9,7.30%,2950,214,71,587
543,13.3,6.20%,4202,260,93,733
544,8.7,3.90%,2464,95,24,393
545,63.7,14.60%,4512,658,30,444
546,44.5,13.40%,3125,419,27,397
547,37.1,12.40%,2582,319,25,357
548,34.6,14.10%,1543,217,17,267
549,34.5,13.90%,2979,415,48,511
550,32.6,10.00%,2331,234,15,286
551,80.4,25.10%,1834,461,39,358
552,75.3,19.10%,1851,353,18,263
553,50.2,22.30%,1498,334,39,392
554,37.8,16.20%,2095,339,51,491
555,32.5,15.80%,1906,302,58,496
556,21.3,11.80%,1530,180,45,407
557,84.1,17.00%,2159,367,10,194
558,62.4,20.90%,1697,354,20,267
559,46.3,9.90%,4554,451,35,388
560,40.9,20.00%,1821,364,44,414
